Data Through Date,Project ID,Interconnection Date,Utility,City/Town,County,ZIP Code,Division,Substation,Circuit ID,Storage Type,Developer,Metering Method,Energy Storage System Size (kWac),Georeference
12/31/2025,CH-22653,07/28/2025,Central Hudson,West Camp,Ulster,12490,Kingston,Saugerties,3004,Battery,"SUNRUN Installation Services, Inc",NM,11.5,POINT (-73.94839 42.11529)
12/31/2025,PAM-2020-80021,07/29/2020,PSEGLI,Jericho,Nassau,11753,,103,2188,Battery,TESLA,NM,15,POINT (-73.53813 40.791)
12/31/2025,PAM-2024-383327,10/09/2025,PSEGLI,NORTHPORT,Suffolk,11768,,2681,7500,Battery,Hytech Solar Inc.,NM,10,POINT (-73.34312 40.90128)
12/31/2025,PAM-2019-76828,03/17/2020,PSEGLI,RIDGE,Suffolk,11961,,1293,7,Battery,Sunation Solar Systems,NM,10,POINT (-72.8929 40.89449)
12/31/2025,CH-16125,08/25/2022,Central Hudson,Saugerties,Ulster,12477,Kingston,Saugerties,3003,Battery,SunCommon,NM,5,POINT (-73.95246 42.07778)
12/31/2025,26048,02/27/2025,NYSEG,Hillsdale,Columbia,12529,Mechanicville,NYS-CRARYVILLE 400,1204001,Battery,Hudson River Renewables LLC,NM,12,POINT (-73.5046 42.22622)
12/31/2025,PAM-2022-182656,06/24/2022,PSEGLI,WOODBURY,Nassau,11797,,866,5487,Battery,"Tesla, Inc.",NM,10,POINT (-73.45301 40.81953)
12/31/2025,PAM-2022-209088,11/29/2022,PSEGLI,PT WASH,Nassau,11050,,214,5554,Battery,NY State Solar LLC,NM,6.8,POINT (-73.7008 40.8324)
12/31/2025,CH-16156,11/18/2022,Central Hudson,Accord,Ulster,12404,Kingston,Kerhonkson,3081,Battery,Tesla Energy Operations Inc.,NM,12.6,POINT (-74.23062 41.78765)
12/31/2025,PAM-2024-384386,01/28/2025,PSEGLI,OCEANSIDE,Nassau,11572,,229,6876,Battery,"EmPower CES, LLC",NM,5,POINT (-73.64036 40.64212)
12/31/2025,SDG-09686,12/14/2018,Con Ed,White Plains,Westchester,10603,CENY-W,Elmsford No. 2,3U2,Battery,SolarCity,NM,5,POINT (-73.77632 41.05408)
12/31/2025,525444,08/31/2023,National Grid,Voorheesville,Albany,12186,030-Albany,VOORHEESVILLE 178,36_30_17851,Battery,Toni Haviland (PlugPV),NM,34.2,POINT (-73.92843 42.65187)
12/31/2025,18940,06/08/2022,RGE,ROCHESTER,Monroe,14616,Rochester,0112RO2523-3738 MT Read BLVD,0112RO2523,Battery,Solar Liberty,NM,6.8,POINT (-77.64325 43.22041)
12/31/2025,CH-13338,04/13/2021,Central Hudson,Middleburg,Schoharie,12122,Catskill,Westerlo,1092,Battery,Intelligent Green Solutions LLC,NM,7.6,POINT (-74.33441 42.59808)
12/31/2025,PAM-2020-85548,03/10/2021,PSEGLI,Lake Ronkonkoma,Suffolk,11779,,16,8463,Battery,Sunrun_ Inc.,NM,10,POINT (-73.12412 40.8062)
12/31/2025,602480,12/17/2024,National Grid,Hagaman,Fulton,12086,034-Amsterdam,CHURCH ST 43,36_35_04356,Battery,Jennifer Boots (Solar City DBA Tesla Energy),NM,34.5,POINT (-74.15118 42.97486)
12/31/2025,CH-20623,10/25/2024,Central Hudson,Newburgh,Orange,12550,Newburgh,Marlboro,5001,Battery,Infinity Solar Systems,NM,15,POINT (-74.01023 41.49994)
12/31/2025,611252,11/12/2024,National Grid,Duanesburg,Schenectady,12056,032-Schenectady,ALTAMONT 283,36_30_28355,Battery,Jennifer Boots (Solar City DBA Tesla Energy),NM,15,POINT (-74.13576 42.76111)
12/31/2025,PAM-2022-218446,10/03/2022,PSEGLI,PLAINVIEW,Nassau,11803,,371,6072,Battery,SUNation Solar Systems Inc.,NM,10,POINT (-73.46669 40.7764)
12/31/2025,28140,11/13/2025,NYSEG,MAHOPAC,Putnam,10541,Brewster,NYS-CARMEL 501,1109701,Battery,Empire Solar Solutions,NM,11.5,POINT (-73.73995 41.36778)
12/31/2025,681745,11/18/2025,National Grid,Gansevoort,Saratoga,12831,039-Saratoga,SMITH BRIDGE 464,36_39_46453,Battery,Achilles Tzoulafis (Infinity Solar Systems),NM,10,POINT (-73.65232 43.19646)
12/31/2025,PAM-2025-394280,12/22/2025,PSEGLI,MONTAUK,Suffolk,11954,,7723,1075,Battery,"EmPower CES, LLC",NM,10,POINT (-71.95373 41.03121)
12/31/2025,CH-14976,05/11/2022,Central Hudson,Pleasant Valley,Dutchess,12569,Poughkeepsie,Tinkertown,7025,Battery,SunCommon,NM,5,POINT (-73.82198 41.74497)
12/31/2025,CH-21939,05/23/2025,Central Hudson,Jewett,Greene,12444,Catskill,Vinegar Hill,2389,Battery,"New York State Solar Farm, Inc.",NM,23,POINT (-74.30361 42.2617)
12/31/2025,PAM-2024-379878,10/15/2024,PSEGLI,SEAFORD,Nassau,11783,,461,4598,Battery,"EmPower CES, LLC",NM,11.5,POINT (-73.48705 40.66609)
12/31/2025,CH-20913,03/10/2025,Central Hudson,Kingston,Ulster,12401,Kingston,East Kingston,1022,Battery,SunCommon,NM,15.2,POINT (-73.99737 41.92698)
12/31/2025,438916,11/04/2022,National Grid,Carthage,Jefferson,13619,022-Carthage,N. CARTHAGE 816,36_23_81654,Battery,"Carrie Cosentino (Solar Liberty Energy Systems, In",NM,6,POINT (-75.60618 43.98008)
12/31/2025,DGINT-12298,10/17/2023,O&R,WARWICK,Orange,10990,CENTRAL,Wisner,80-1-13,Battery,Sunrun Inc,NM,10,POINT (-74.35825 41.25848)
12/31/2025,CH-18752,02/09/2024,Central Hudson,Poughkeepsie,Dutchess,12603,Poughkeepsie,Spackenkill,6044,Battery,"Tesla Energy Operations, Inc.",NM,5,POINT (-73.89901 41.69646)
12/31/2025,CH-22489,10/15/2025,Central Hudson,Rensselaervle,Albany,12147,Catskill,Westerlo,1092,Battery,Hudson River Solar,NM,15,POINT (-74.13933 42.51491)
12/31/2025,21097,02/16/2023,NYSEG,Hopewell Junction,Dutchess,12533,Brewster,NYS-SYLVAN LAKE 478,1107078,Battery,Solar City Corp DBA Tesla,NM,5,POINT (-73.80744 41.57661)
12/31/2025,SDG-46291,03/28/2023,Con Ed,Scarsdale,Westchester,10583,CENY-W,White Plains,84U3,Battery,Trinity Solar,NM,5,POINT (-73.79681 40.98824)
12/31/2025,DGINT-16218,08/26/2025,O&R,GLEN SPEY,Sullivan,12737,WEST,Rio,3-1N-34,Battery,SolarCity,NM,11.5,POINT (-74.80665 41.49108)
12/31/2025,PAM-2022-232460,12/15/2022,PSEGLI,COMMACK,Suffolk,11725,,3116,850,Battery,"Tesla, Inc.",NM,10,POINT (-73.29144 40.84713)
12/31/2025,CH-14721,04/29/2022,Central Hudson,Hopewell Junctio,Dutchess,12533,Fishkill,Fishkill Plains,8095,Battery,"Kasselman Solar, LLC",NM,7.68,POINT (-73.80744 41.57661)
12/31/2025,CH-21203,02/13/2025,Central Hudson,Newburgh,Orange,12550,Newburgh,Union Ave,4044,Battery,"Sunrun Installation Services, Inc.",NM,11.5,POINT (-74.01023 41.49994)
12/31/2025,16948,02/26/2021,NYSEG,Cooperstown,Otsego,13326,Oneonta,NYS-COOPERSTOWN 123,2300823,Battery,Revolution Solar,NM,7,POINT (-74.92511 42.70068)
12/31/2025,PAM-2020-83947,05/14/2021,PSEGLI,Coram,Suffolk,11727,,1089,6139,Battery,Sunrun_ Inc.,NM,5,POINT (-73.00002 40.86951)
